signature,status,n_genes,n_on_platform,overlap_D1,overlap_C1,overlap_study_panel,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,retention_joint_shared_genes_removed,shared_gene_note
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,ok,27,27,0,0,0,-0.4565,2.253550398345622e-21,0.005,0.0042,,no shared gene to remove
WOO_LIVER_CANCER_RECURRENCE_UP,ok,105,103,0,2,0,0.1949,4.1261715786923965e-05,1.0328,0.0611,0.0275,
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,ok,52,31,0,0,0,-0.111,8.516883804922947e-07,0.4413,0.1549,,no shared gene to remove
CAIRO_LIVER_DEVELOPMENT_UP,ok,166,166,0,0,0,0.1183,2.6391937148566897e-11,0.312,0.1699,,no shared gene to remove
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,ok,17,12,0,0,0,-0.5792,1.462926122006872e-26,0.163,0.1936,,no shared gene to remove
ROESSLER_LIVER_CANCER_METASTASIS_UP,ok,106,104,0,0,1,0.0559,2.688675780653575e-06,0.1307,0.247,,no shared gene to remove
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,ok,43,43,1,0,0,-0.8086,1.3762013048434084e-31,0.2266,0.259,0.2583,
LEE_LIVER_CANCER_CIPROFIBRATE_UP,ok,60,57,0,0,0,-0.0557,0.00010864011595221696,0.873,0.2658,,no shared gene to remove
WANG_RECURRENT_LIVER_CANCER_DN,ok,16,14,0,0,0,-0.5923,2.2627941235071198e-27,0.3571,0.2681,,no shared gene to remove
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,ok,113,112,2,0,1,-0.2932,1.9713591164130942e-26,0.2562,0.2981,0.2917,
HSIAO_LIVER_SPECIFIC_GENES,ok,247,238,18,0,1,-0.8383,7.236132290777785e-34,0.3451,0.3187,0.3428,
CAIRO_LIVER_DEVELOPMENT_DN,ok,225,220,8,2,2,-0.4971,5.984134523753048e-34,0.3908,0.321,0.3504,
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,ok,26,24,0,0,0,-0.4021,2.5304845630374474e-20,0.8764,0.3221,,no shared gene to remove
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,ok,175,140,0,0,0,-0.2819,1.9129533080206816e-15,0.2476,0.3427,,no shared gene to remove
LEE_LIVER_CANCER_SURVIVAL_UP,ok,187,159,4,0,1,-0.7202,6.183246841341627e-32,0.3626,0.3882,0.391,
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,ok,22,21,0,0,0,0.3916,6.234866890668996e-12,0.0707,0.4032,,no shared gene to remove
LEE_LIVER_CANCER_MYC_DN,ok,63,59,4,0,1,-0.4278,7.520149542307866e-33,0.4816,0.4061,0.4456,
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,ok,266,256,8,0,0,-0.7596,5.103775687528626e-33,0.4503,0.4139,0.4287,
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,ok,52,51,1,0,1,-0.8871,1.3485301790654999e-33,0.4783,0.4165,0.4284,
ANDERSEN_LIVER_CANCER_KRT19_DN,ok,75,64,1,0,0,-0.8406,1.1989292260898292e-32,0.4412,0.4216,0.4267,
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,ok,76,71,1,0,1,-0.6838,3.3795605006210595e-34,0.4763,0.4232,0.4246,
LEE_LIVER_CANCER_E2F1_DN,ok,64,62,2,0,1,-0.4814,5.565453762810564e-32,0.4254,0.4287,0.4308,
SU_LIVER,ok,58,57,3,0,0,-0.9451,2.503265876109863e-34,0.4513,0.4346,0.4388,
WOO_LIVER_CANCER_RECURRENCE_DN,ok,78,78,3,0,1,-0.9234,2.132868868512331e-33,0.4293,0.4517,0.4604,
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL,ok,16,16,0,0,0,-0.1198,4.657368227571981e-08,0.5592,0.4591,,no shared gene to remove
LEE_LIVER_CANCER_ACOX1_DN,ok,65,64,3,0,0,-0.6232,1.2977947541136865e-34,0.4835,0.4742,0.5073,
OHGUCHI_LIVER_HNF4A_TARGETS_DN,ok,170,126,3,0,0,-0.684,2.3062766418635386e-34,0.4664,0.4753,0.4887,
LEE_LIVER_CANCER_MYC_TGFA_DN,ok,65,64,3,0,1,-0.5813,3.9042525394115035e-33,0.4865,0.4792,0.4935,
LEE_LIVER_CANCER_MYC_E2F1_DN,ok,64,63,3,0,1,-0.6441,2.6437885885198632e-34,0.5045,0.4988,0.5136,
LEE_LIVER_CANCER_CIPROFIBRATE_DN,ok,66,65,3,0,0,-0.5022,4.814842229364266e-34,0.4606,0.4994,0.5181,
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,ok,21,18,1,0,0,-1.1282,2.0393046874736746e-34,0.5814,0.5118,0.5137,
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,ok,179,155,4,0,1,-1.0598,5.515819886542108e-34,0.5234,0.5145,0.5155,
SERVITJA_LIVER_HNF1A_TARGETS_DN,ok,164,137,2,1,0,-0.4761,1.0136828313299712e-34,0.5616,0.5312,0.5504,
