signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
ACEVEDO_LIVER_CANCER_DN,540,533,-0.7605,6.96e-09,0.7692,1.0123,0.7286,0,0,0,-0.5541,0,0
ACEVEDO_LIVER_CANCER_UP,972,948,0.5059,1.07e-08,0.8453,0.9886,0.7916,0,0,0,+0.4005,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,203,0.0902,6.64e-05,0.6252,0.7061,0.1364,0,0,0,+0.0123,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,276,-0.1257,4.06e-06,1.2318,0.4918,0.6032,0,1,1,-0.0758,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,115,0.3217,3.59e-08,0.7424,0.9653,0.6317,0,0,0,+0.2032,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,124,-0.0428,0.0239,1.1451,1.1474,1.3787,0,0,0,-0.0590,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,263,-0.9302,6.24e-09,0.8296,0.9536,0.7247,0,0,0,-0.6741,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,842,0.6841,1.07e-08,0.8531,0.9446,0.742,0,0,0,+0.5076,0,0
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,815,-0.0544,0.000345,1.2667,0.7979,1.0608,0,0,0,-0.0577,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,351,-0.2464,1.05e-06,0.6072,1.2413,0.8354,0,0,0,-0.2058,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,169,-0.0697,0.0105,0.2596,0.9451,0.0043,1,0,1,-0.0003,0,0
ANDERSEN_LIVER_CANCER_KRT19_DN,75,74,-0.68,7.75e-09,0.4833,1.1343,0.5367,1,0,1,-0.3649,0,0
