signature,n_genes,unadjusted_mean_delta,retention_joint,ci95_lo,ci95_hi,ci_width,ratio_unstable,interval_entirely_below_50,interval_contains_1
ACEVEDO_LIVER_CANCER_DN,540,-0.7605,0.7286,0.4972,0.9608,0.4636,0,0,0
ACEVEDO_LIVER_CANCER_UP,972,0.5059,0.7916,0.4652,1.134,0.6688,0,0,1
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,0.0902,0.1364,0.0114,0.6304,0.619,0,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,-0.1257,0.6032,0.1149,1.1167,1.0018,0,0,1
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,0.3217,0.6317,0.2512,0.9341,0.6829,0,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,-0.0428,1.3787,0.3717,3.9414,3.5697,0,0,1
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,-0.9302,0.7247,0.4746,0.976,0.5014,0,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,0.6841,0.742,0.4251,1.0653,0.6402,0,0,1
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,-0.0544,1.0608,0.358,2.0085,1.6505,0,0,1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,-0.2464,0.8354,0.5342,1.1685,0.6343,0,0,1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,-0.0697,0.0043,0.0178,2.1595,2.1417,0,0,1
ANDERSEN_LIVER_CANCER_KRT19_DN,75,-0.68,0.5367,0.3574,0.7178,0.3604,0,0,0
ANDERSEN_LIVER_CANCER_KRT19_UP,35,0.6427,0.8341,0.5753,1.1146,0.5393,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,-0.9728,0.5814,0.4243,0.7529,0.3286,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,47,0.9015,0.6402,0.3756,0.8845,0.5089,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,15,-0.813,0.5289,0.2759,0.8321,0.5562,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,39,0.6616,0.6067,0.3787,0.858,0.4793,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN,38,-0.4116,0.6093,0.2666,0.862,0.5954,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,116,0.3717,0.7738,0.452,1.097,0.645,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G2,28,0.3138,0.1785,0.0112,0.695,0.6838,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,53,0.7467,0.4809,0.0978,0.8651,0.7673,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,52,-0.7791,0.5129,0.2666,0.718,0.4514,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,189,0.7108,0.5813,0.2774,0.8464,0.569,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,-0.7327,0.7962,0.4155,1.1716,0.7561,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN,28,-0.3952,0.1053,0.014,0.6402,0.6262,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN,19,-0.5047,0.726,0.3975,1.0374,0.6399,0,0,1
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER,15,-0.1365,0.6101,0.0458,1.3786,1.3328,0,0,1
CAIRO_HEPATOBLASTOMA_CLASSES_DN,214,-0.4896,0.5021,0.3072,0.7026,0.3954,0,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_UP,609,0.6034,0.6626,0.3901,0.9045,0.5144,0,0,0
CAIRO_HEPATOBLASTOMA_DN,267,-0.9513,0.6976,0.5279,0.8596,0.3317,0,0,0
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL,16,-0.2717,0.5963,0.1723,1.0789,0.9066,0,0,1
CAIRO_HEPATOBLASTOMA_UP,213,0.5423,0.7375,0.4804,0.975,0.4946,0,0,0
CAIRO_LIVER_DEVELOPMENT_DN,225,-0.4907,0.4883,0.3187,0.629,0.3103,0,0,0
CARRILLOREIXACH_14Q32OVEREXPRESSION_IN_HEPATOBLASTOMA,48,-0.1454,0.8349,0.0808,1.6385,1.5577,0,0,1
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN,21,-0.6483,0.8277,0.5761,1.0499,0.4738,0,0,1
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,162,0.3603,0.6972,0.267,1.0494,0.7824,0,0,1
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP,891,0.3682,0.6893,0.3816,0.9317,0.5501,0,0,0
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,168,-0.305,0.2108,0.0133,0.5665,0.5532,0,0,0
CHEN_LIVER_METABOLISM_QTL_CIS,95,0.1388,0.5027,0.0453,1.066,1.0207,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,170,-0.3755,0.428,0.0818,0.7659,0.6841,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,-0.2067,0.578,0.041,2.2218,2.1808,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,26,-0.4179,0.3056,0.0265,0.5957,0.5692,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,25,0.1333,0.6877,0.0587,3.8299,3.7712,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,79,-0.5183,0.7199,0.5549,0.9186,0.3637,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,179,-0.7961,0.5137,0.3428,0.6907,0.3479,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,179,0.584,0.6,0.2483,0.931,0.6827,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,194,0.6955,0.7269,0.4242,1.0629,0.6387,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,86,-0.5363,0.6835,0.4247,0.9362,0.5115,0,0,0
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,159,-0.8608,0.6467,0.5315,0.7757,0.2442,0,0,0
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,0.203,0.8555,0.2053,1.5934,1.3881,0,0,1
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,0.5274,0.6826,0.3561,0.9541,0.598,0,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,-0.3106,0.9698,0.683,1.2945,0.6115,0,0,1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,0.3624,0.8876,0.6213,1.2027,0.5814,0,0,1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,-0.5902,0.5235,0.3515,0.6808,0.3293,0,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,-0.3079,0.7223,0.5059,0.9227,0.4168,0,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,-0.123,0.17,0.0079,1.9775,1.9696,0,0,1
HSIAO_LIVER_SPECIFIC_GENES,247,-0.6509,0.4296,0.2434,0.5888,0.3454,0,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,0.3845,0.5913,0.2859,0.9317,0.6458,0,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,-0.2233,0.2763,0.0186,1.279,1.2604,0,0,1
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,15,0.1842,0.8692,0.2566,1.4348,1.1782,0,0,1
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,-0.8755,0.6682,0.4983,0.8696,0.3713,0,0,0
KAPOSI_LIVER_CANCER_MET_UP,18,0.4342,0.6357,0.3132,1.0888,0.7756,0,0,1
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,-0.6409,0.33,0.1181,0.5346,0.4165,0,0,0
LEE_LIVER_CANCER_ACOX1_DN,65,-0.549,0.5129,0.3524,0.6937,0.3413,0,0,0
LEE_LIVER_CANCER_ACOX1_UP,65,-0.1143,0.4621,0.0285,1.5808,1.5523,0,0,1
LEE_LIVER_CANCER_CIPROFIBRATE_DN,66,-0.3217,0.4693,0.2477,0.7186,0.4709,0,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,-0.1413,0.5308,0.053,1.3215,1.2685,0,0,1
LEE_LIVER_CANCER_DENA_DN,74,-0.4839,0.4968,0.3173,0.6891,0.3718,0,0,0
LEE_LIVER_CANCER_E2F1_DN,64,-0.3706,0.5849,0.4059,0.757,0.3511,0,0,0
LEE_LIVER_CANCER_HEPATOBLAST,16,-0.2514,0.0103,0.0108,1.6198,1.609,0,0,1
LEE_LIVER_CANCER_MYC_DN,63,-0.3613,0.5853,0.4416,0.7483,0.3067,0,0,0
LEE_LIVER_CANCER_MYC_E2F1_DN,64,-0.4982,0.6134,0.4659,0.7548,0.2889,0,0,0
LEE_LIVER_CANCER_MYC_TGFA_DN,65,-0.4463,0.5266,0.3899,0.6602,0.2703,0,0,0
LEE_LIVER_CANCER_MYC_UP,54,0.1335,1.0184,0.1017,1.9999,1.8982,0,0,1
LEE_LIVER_CANCER_SURVIVAL_DN,180,0.5508,0.6733,0.3469,1.0072,0.6603,0,0,1
LEE_LIVER_CANCER_SURVIVAL_UP,187,-0.5282,0.5225,0.3052,0.7652,0.46,0,0,0
LIU_LIVER_CANCER,35,-0.0924,0.4404,0.032,2.1867,2.1547,0,0,1
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,0.0902,0.8204,0.2311,1.3196,1.0885,0,0,1
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,0.0736,0.2322,0.0184,0.7774,0.759,0,0,0
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,0.1341,0.4953,0.0493,1.0578,1.0085,0,0,1
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,-0.8712,0.5392,0.3392,0.7434,0.4042,0,0,0
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,-0.3802,0.5436,0.2067,1.0585,0.8518,0,0,1
OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,-0.5744,0.6151,0.4733,0.7714,0.2981,0,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,-0.2497,0.3801,0.0356,0.6867,0.6511,0,0,0
PATIL_LIVER_CANCER,660,0.6648,0.6183,0.3362,0.8526,0.5164,0,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,-0.2223,0.8274,0.4772,1.2794,0.8022,0,0,1
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,0.2875,0.846,0.5057,1.3355,0.8298,0,0,1
SERVITJA_LIVER_HNF1A_TARGETS_DN,164,-0.4005,0.6008,0.4282,0.7726,0.3444,0,0,0
SERVITJA_LIVER_HNF1A_TARGETS_UP,138,0.0842,0.3823,0.0394,2.8163,2.7769,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,0.1218,0.615,0.1285,1.0015,0.873,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,0.0914,0.7152,0.1236,1.8003,1.6767,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,0.0639,1.202,0.5011,5.7306,5.2295,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,-0.3349,0.5219,0.382,0.7024,0.3204,0,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,0.11,0.6889,0.1372,1.1184,0.9812,0,0,1
SMITH_LIVER_CANCER,47,0.5986,0.706,0.406,1.0057,0.5997,0,0,1
SU_LIVER,58,-0.6908,0.4402,0.2424,0.6401,0.3977,0,0,0
VILLANUEVA_LIVER_CANCER_KRT19_DN,63,-0.4692,0.5185,0.2408,0.7601,0.5193,0,0,0
VILLANUEVA_LIVER_CANCER_KRT19_UP,175,0.5322,0.6128,0.297,0.8819,0.5849,0,0,0
WANG_RECURRENT_LIVER_CANCER_DN,16,-0.2241,0.0803,0.0171,2.0172,2.0001,0,0,1
WANG_RECURRENT_LIVER_CANCER_UP,20,0.5385,0.6497,0.3938,0.9074,0.5136,0,0,0
WENG_POR_TARGETS_LIVER_DN,23,-0.374,0.6741,0.3228,0.9438,0.621,0,0,0
WENG_POR_TARGETS_LIVER_UP,44,-0.2318,0.9207,0.3997,1.296,0.8963,0,0,1
WOO_LIVER_CANCER_RECURRENCE_DN,78,-0.708,0.4569,0.2644,0.6587,0.3943,0,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,-0.5204,0.4827,0.2988,0.6805,0.3817,0,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,17,-0.3134,0.076,0.0106,0.8752,0.8646,0,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,0.3869,0.8816,0.5939,1.1461,0.5522,0,0,1
