tau,sigma,composition_share,mu,median_estimate,bias,iqr_lo,iqr_hi,coverage_95,n_replicates
0.1,0.25,0.0,0.5,0.0978,-0.0022,0.0642,0.1321,0.974,500
0.1,0.25,0.3,0.5,0.1019,0.0019,0.0695,0.1312,0.97,500
0.1,0.5,0.0,0.5,0.104,0.004,0.0545,0.1657,0.974,500
0.1,0.5,0.3,0.5,0.1014,0.0014,0.0501,0.1613,0.964,500
0.1,1.0,0.0,0.5,0.1536,0.0536,0.083,0.2651,0.956,500
0.1,1.0,0.3,0.5,0.1606,0.0606,0.0823,0.2524,0.978,500
0.25,0.25,0.0,0.5,0.2479,-0.0021,0.2176,0.2764,0.956,500
0.25,0.25,0.3,0.5,0.2501,0.0001,0.2198,0.2831,0.95,500
0.25,0.5,0.0,0.5,0.2483,-0.0017,0.1941,0.3076,0.96,500
0.25,0.5,0.3,0.5,0.2535,0.0035,0.1894,0.3095,0.964,500
0.25,1.0,0.0,0.5,0.265,0.015,0.1361,0.3755,0.97,500
0.25,1.0,0.3,0.5,0.2606,0.0106,0.1443,0.3695,0.972,500
0.5,0.25,0.0,0.5,0.502,0.002,0.4735,0.5298,0.938,500
0.5,0.25,0.3,0.5,0.5002,0.0002,0.472,0.529,0.972,500
0.5,0.5,0.0,0.5,0.4976,-0.0024,0.4482,0.5526,0.946,500
0.5,0.5,0.3,0.5,0.5018,0.0018,0.4448,0.5518,0.946,500
0.5,1.0,0.0,0.5,0.5176,0.0176,0.4132,0.6068,0.964,500
0.5,1.0,0.3,0.5,0.5019,0.0019,0.3951,0.6103,0.98,500
0.75,0.25,0.0,0.5,0.7547,0.0047,0.7306,0.7786,0.95,500
0.75,0.25,0.3,0.5,0.751,0.001,0.7246,0.7771,0.95,500
0.75,0.5,0.0,0.5,0.7542,0.0042,0.7061,0.8044,0.942,500
0.75,0.5,0.3,0.5,0.7512,0.0012,0.6989,0.8066,0.926,500
0.75,1.0,0.0,0.5,0.7492,-0.0008,0.6571,0.8389,0.948,500
0.75,1.0,0.3,0.5,0.7714,0.0214,0.6637,0.8704,0.936,500
1.0,0.25,0.0,0.5,1.0012,0.0012,0.9737,1.0246,0.962,500
1.0,0.25,0.3,0.5,0.9977,-0.0023,0.9724,1.0222,0.938,500
1.0,0.5,0.0,0.5,0.9965,-0.0035,0.9459,1.0442,0.934,500
1.0,0.5,0.3,0.5,0.9991,-0.0009,0.9436,1.0477,0.944,500
1.0,1.0,0.0,0.5,0.9927,-0.0073,0.8843,1.095,0.918,500
1.0,1.0,0.3,0.5,0.9965,-0.0035,0.9026,1.1052,0.922,500
0.25,0.5,0.0,0.25,0.2458,-0.0042,0.1379,0.3684,0.966,500
0.75,0.5,0.0,0.25,0.7695,0.0195,0.6564,0.856,0.936,500
0.25,0.5,0.0,1.0,0.2489,-0.0011,0.2159,0.2796,0.946,500
0.75,0.5,0.0,1.0,0.7523,0.0023,0.731,0.7777,0.95,500
