signature,n_genes,unadjusted_mean_delta,retention_identity_D1,retention_composition_C1,retention_joint,ci95_lo,ci95_hi,joint_intercept,sign_reverses,ratio_unstable
ACEVEDO_LIVER_CANCER_UP,972,1.0074,0.977,0.9235,0.9741,0.8673,1.1243,+0.9813,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,0.6002,0.9201,0.9094,0.9171,0.7749,1.0993,+0.5504,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,0.2684,0.548,0.5879,0.5353,0.2383,1.0201,+0.1437,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,0.7797,0.9715,0.9218,0.9684,0.857,1.1191,+0.7550,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,0.3245,0.64,0.6983,0.6311,0.3608,1.0852,+0.2048,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,-0.267,0.8366,1.1253,0.8441,0.5641,1.0561,-0.2254,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,1.1048,0.9878,0.9379,0.9853,0.8855,1.1121,+1.0885,0,0
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,0.3939,0.7771,0.7848,0.7703,0.5728,1.1033,+0.3034,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,0.4325,1.1555,0.956,1.1518,1.0278,1.372,+0.4982,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,0.634,0.9993,0.9055,0.9954,0.8572,1.2127,+0.6311,0,0
ANDERSEN_LIVER_CANCER_KRT19_DN,75,-0.3243,0.074,0.7474,0.0737,0.005,0.3679,-0.0239,0,0
ANDERSEN_LIVER_CANCER_KRT19_UP,35,1.0628,0.8617,0.8721,0.8577,0.6874,1.0402,+0.9116,0,0
BORLAK_LIVER_CANCER_EGF_UP,54,0.3928,0.7372,0.7034,0.7273,0.4513,1.1422,+0.2857,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,-0.6733,0.5771,0.8718,0.5764,0.3933,0.6856,-0.3881,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,47,1.265,0.9841,0.937,0.9815,0.8706,1.1063,+1.2416,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,15,-0.4941,0.428,0.8158,0.4266,0.0638,0.6282,-0.2108,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,39,1.1987,0.9943,0.9424,0.9918,0.8841,1.1309,+1.1889,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,116,0.9583,0.9083,0.8898,0.9047,0.7364,1.1034,+0.8669,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G2,28,0.85,0.9689,0.9178,0.9657,0.841,1.1739,+0.8208,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,53,1.2467,0.9936,0.9541,0.9917,0.8949,1.1,+1.2363,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,52,-0.2506,0.1512,0.7792,0.1476,0.0084,1.78,+0.0370,1,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,189,1.2284,0.9592,0.9338,0.9568,0.8473,1.0769,+1.1753,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,-0.255,1.3535,1.5452,1.3731,0.7406,4.1828,-0.3502,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,66,0.8134,1.027,0.9962,1.0265,0.9082,1.1308,+0.8350,0,0
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER,15,0.4329,0.7782,0.7032,0.7678,0.482,1.225,+0.3324,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_UP,609,1.1694,0.9675,0.9312,0.9649,0.8443,1.0928,+1.1284,0,0
CAIRO_HEPATOBLASTOMA_DN,267,-0.7654,0.7371,0.9562,0.7382,0.6085,0.8035,-0.5650,0,0
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL,16,0.238,1.6519,1.0835,1.6481,1.1616,3.024,+0.3923,0,0
CAIRO_HEPATOBLASTOMA_UP,213,1.0553,0.933,0.9206,0.9304,0.8193,1.0593,+0.9818,0,0
CAIRO_LIVER_DEVELOPMENT_UP,166,0.5525,0.7493,0.7582,0.7417,0.5497,1.0535,+0.4098,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN,21,-0.4362,0.7141,0.9701,0.7161,0.4696,0.8147,-0.3124,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,162,0.9742,0.8593,0.8641,0.8551,0.7346,1.0101,+0.8331,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP,891,0.9762,0.8493,0.8798,0.8458,0.7215,0.9938,+0.8257,0,0
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP,51,0.6733,1.1326,1.0031,1.1313,0.97,1.3381,+0.7617,0,0
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN,32,0.4099,1.1923,0.9457,1.1877,0.8788,1.5547,+0.4868,0,0
CHEN_LIVER_METABOLISM_QTL_CIS,95,0.6209,1.0553,0.9258,1.0515,0.9338,1.2525,+0.6529,0,0
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,52,0.457,1.0431,1.0074,1.0431,0.9002,1.2304,+0.4767,0,0
