signature,n_genes,unadjusted_mean_delta,retention_identity,retention_composition,retention_joint,ci95_lo,ci95_hi,joint_intercept,sign_reverses,ratio_unstable
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN,24,0.345,0.6661,0.6511,0.6916,0.0569,2.1168,-0.2386,1,0
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,561,0.2021,0.7758,1.6807,1.4848,0.1516,10.8512,-0.3001,1,0
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN,552,-0.3241,0.058,1.3624,0.4394,0.0374,1.0368,-0.1424,0,0
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP,88,1.1827,0.8095,0.2381,0.1893,0.0394,0.3325,+0.2239,0,0
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN,42,0.3594,0.5022,0.9104,1.0493,0.208,3.0493,-0.3771,1,0
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,152,0.4868,0.6142,0.3389,0.4665,0.0457,1.2593,-0.2271,1,0
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN,51,0.4773,0.7839,0.2231,0.2273,0.0121,0.9137,-0.1085,1,0
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP,65,0.4265,0.5311,0.5215,0.692,0.0986,1.8428,-0.2951,1,0
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN,164,0.6511,0.5426,0.0488,0.2767,0.0176,0.8018,-0.1802,1,0
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP,27,0.2988,0.165,1.1268,1.7845,0.7035,4.5631,-0.5332,1,0
RODWELL_AGING_KIDNEY_DN,148,-0.7099,0.8737,1.0126,0.9069,0.5565,1.3323,-0.6438,0,0
RODWELL_AGING_KIDNEY_NO_BLOOD_DN,148,-0.7265,0.8481,0.9747,0.8532,0.5023,1.2597,-0.6198,0,0
RODWELL_AGING_KIDNEY_NO_BLOOD_UP,223,0.5655,0.6798,0.3243,0.4002,0.0801,0.8587,-0.2263,1,0
RODWELL_AGING_KIDNEY_UP,500,0.9196,0.7921,0.0977,0.0545,0.0032,0.1848,+0.0501,0,0
SU_KIDNEY,15,-0.6217,0.0248,0.8359,0.056,0.0034,0.2449,-0.0348,0,0
