signature,n_genes,unadjusted_mean_delta,retention_identity,retention_composition,retention_joint,ci95_lo,ci95_hi,joint_intercept,sign_reverses,ratio_unstable
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN,175,-0.2566,1.323,0.5136,0.8834,0.0536,2.0849,-0.2267,0,0
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,174,-0.25,0.8687,0.1412,0.104,0.0092,0.781,-0.0260,0,0
CHEN_LUNG_CANCER_SURVIVAL,28,0.2662,0.4681,1.2394,0.6909,0.0476,1.3471,+0.1839,0,0
DING_LUNG_CANCER_BY_MUTATION_RATE,20,-0.2152,1.3613,0.0525,0.5097,0.034,2.001,-0.1097,0,0
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,100,0.2507,0.3171,1.4294,0.0881,0.02,2.7542,+0.0221,0,0
DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,26,-0.187,1.3797,0.0342,0.4498,0.0262,2.0719,-0.0841,0,0
DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA,15,0.1182,0.3274,1.9355,0.5304,0.0373,5.5949,+0.0627,0,0
FALVELLA_SMOKERS_WITH_LUNG_CANCER,81,-0.2459,0.9651,0.4401,0.4657,0.0233,1.2712,-0.1145,0,0
HATADA_METHYLATED_IN_LUNG_CANCER_DN,35,0.1757,0.0597,1.5425,0.5599,0.041,1.2883,+0.0984,0,0
HATADA_METHYLATED_IN_LUNG_CANCER_UP,377,-0.2103,1.2927,0.3466,0.7041,0.083,1.4936,-0.1481,0,0
HEBERT_MATRISOME_TNBC_LUNG_METASTASIS,23,-0.3438,1.2424,0.096,0.4311,0.025,1.288,-0.1482,0,0
LANDEMAINE_LUNG_METASTASIS,21,0.5005,0.4853,1.0657,0.5526,0.0845,1.1628,+0.2766,0,0
LI_AMPLIFIED_IN_LUNG_CANCER,183,0.8313,0.8298,0.946,0.7844,0.5453,0.9846,+0.6521,0,0
LI_LUNG_CANCER,41,0.3387,0.3791,1.2209,0.5867,0.0819,1.1219,+0.1987,0,0
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,215,0.3529,0.4333,1.1377,0.5656,0.0383,1.4495,+0.1996,0,0
MCCLUNG_COCAINE_REWARD_5D,75,-0.2043,1.3288,0.2266,0.6328,0.0443,1.5114,-0.1293,0,0
MCCLUNG_COCAIN_REWARD_4WK,74,-0.1098,1.1628,0.0829,0.193,0.03,6.8781,-0.0212,0,0
MCCLUNG_CREB1_TARGETS_DN,56,-0.3933,1.2246,0.7333,0.9828,0.3231,1.6064,-0.3865,0,0
MCCLUNG_CREB1_TARGETS_UP,101,-0.0967,3.1134,0.2761,1.9377,,,-0.1874,0,1
MCCLUNG_DELTA_FOSB_TARGETS_8WK,49,-0.168,1.5763,0.15,0.5393,0.0325,2.965,-0.0906,0,0
MCDOWELL_ACUTE_LUNG_INJURY_DN,47,-0.6838,0.7018,0.686,0.4265,0.2116,0.5666,-0.2916,0,0
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP,97,-0.3472,1.1884,0.6106,0.8376,0.1289,1.5022,-0.2908,0,0
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,319,0.1225,0.3966,2.1391,1.4242,0.5796,3.8732,+0.1745,0,0
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,196,-0.477,0.352,0.8671,0.448,0.0308,1.1634,+0.2137,1,0
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5,68,-0.1809,0.998,0.3406,0.4092,0.0404,4.4246,-0.0740,0,0
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,461,0.8666,0.1781,1.1044,0.2849,0.0318,0.5599,+0.2469,0,0
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN,38,-0.3745,0.8594,0.7109,0.6035,0.0737,0.9711,-0.2260,0,0
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP,22,0.4268,0.4386,1.3145,0.1338,0.0068,0.6757,-0.0571,1,0
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,63,-0.1658,0.3075,0.0995,0.6627,0.0331,2.8719,+0.1099,1,0
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP,127,-0.1621,2.0887,0.0315,1.1496,0.0618,5.918,-0.1863,0,0
SWEET_LUNG_CANCER_KRAS_DN,420,-0.6499,1.0563,0.6535,0.7461,0.4993,0.9332,-0.4849,0,0
WIKMAN_ASBESTOS_LUNG_CANCER_DN,30,-0.204,1.1288,0.3999,0.1235,0.0235,2.5854,+0.0252,1,0
WIKMAN_ASBESTOS_LUNG_CANCER_UP,15,-0.2862,0.8146,0.7699,0.6123,0.0383,1.4757,-0.1752,0,0
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,67,0.2329,0.3237,1.4348,0.7234,0.0804,1.6151,+0.1685,0,0
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,131,0.2378,0.3979,1.3909,0.7571,0.1154,1.6278,+0.1800,0,0
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,76,0.3055,0.642,1.2495,0.8705,0.4064,1.4418,+0.2659,0,0
