name,retention_joint,HR_unadj,p_unadj,q_unadj,HR_adj,p_adj,surviving_fraction
ACEVEDO_LIVER_CANCER_UP,0.9741,1.4275,0.00020916476177113247,0.0009792713846557566,1.4006,0.0002707433410957667,0.9466
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,0.9171,1.2753,0.004929860253877805,0.008606366205922271,1.2487,0.009657023713800082,0.9133
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,0.5353,1.2813,0.0036728123959377276,0.007005549570029369,1.2438,0.016811155680378102,0.8802
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,0.9684,1.3444,0.0006979497363681791,0.002178449177149165,1.3131,0.0016862307597966984,0.9203
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,0.6311,1.3153,0.0011678992956125017,0.0030046527881590125,1.2824,0.006254589536596771,0.9075
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,0.8441,1.0226,0.7912253465055629,0.8068931751492373,1.1026,0.2762893742467317,4.3762
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,0.9853,1.4869,4.301005031003234e-05,0.0002461130656629628,1.4531,7.407745574241076e-05,0.942
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,0.7703,1.3361,0.0009411732311976942,0.0026928011892600693,1.3017,0.0038722865753427855,0.91
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,1.1518,1.2314,0.028850211547238234,0.040156375531966736,1.3198,0.003454331920846581,1.3333
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,0.9954,1.3474,0.0015375327437639444,0.0035992243774474156,1.3489,0.0008292817673557113,1.0039
ANDERSEN_LIVER_CANCER_KRT19_DN,0.0737,0.8328,0.014587651453285154,0.022096001466005457,0.7715,0.09476684163696607,1.418
ANDERSEN_LIVER_CANCER_KRT19_UP,0.8577,1.4206,6.34663083280964e-05,0.0003440541977786279,1.3948,0.0005105101690927452,0.9478
BORLAK_LIVER_CANCER_EGF_UP,0.7273,1.3462,0.0007195704137647976,0.0021798750769933574,1.3125,0.0026917746642963016,0.9147
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,0.5764,0.7983,0.005427691083162662,0.009317536359429236,0.7746,0.033008029263306156,1.1335
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,0.9815,1.562,1.5664196763818545e-06,2.3802261643175482e-05,1.5288,5.419354049325521e-06,0.9518
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,0.4266,0.899,0.22283098247281524,0.2522152878538458,0.981,0.8637262891771147,0.1801
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,0.9918,1.2882,0.003925869581671472,0.007352083034766575,1.2853,0.0032991868999028336,0.9912
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,0.9047,1.2568,0.008757692546285055,0.013463318392050158,1.2404,0.012028691263709314,0.9427
BOYAULT_LIVER_CANCER_SUBCLASS_G2,0.9657,1.3624,0.00047113283506804995,0.001673333862483074,1.3472,0.0005988897899957869,0.9638
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,0.9917,1.5754,3.7561480041987424e-07,1.1598357413564615e-05,1.5462,1.267870070957038e-06,0.9588
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,0.1476,0.794,0.001421126954966166,0.003404094799105002,0.6508,0.003101521860050578,1.8623
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,0.9568,1.654,7.8826436500605e-08,8.119122959562315e-06,1.6223,8.011133167152561e-07,0.9615
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,1.3731,1.1501,0.11666791970614385,0.14305709202062877,1.1393,0.14220389218430457,0.9326
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,1.0265,1.0647,0.45770285762440704,0.4860143745908652,1.091,0.30308712255153214,1.3891
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER,0.7678,1.2228,0.030026009386473825,0.04123571955742405,1.2034,0.03976828357098993,0.9205
