signature,n_genes_on_platform,unadjusted_mean_delta,retention_joint_D1,retention_joint_quadratic,retention_random_matched_median,retention_random_matched_p2_5,retention_random_matched_p97_5
ACEVEDO_LIVER_CANCER_DN,433,-0.5882,0.6311,0.5877,0.4318,0.3328,0.5304
ACEVEDO_LIVER_CANCER_UP,779,0.6297,1.0305,1.02,1.1964,1.1355,1.2572
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,127,0.0312,0.8141,0.8344,0.5047,0.0473,0.9879
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,197,-0.13,1.8271,1.8277,2.4321,2.2356,2.6773
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,77,0.3137,0.7591,0.714,0.5253,0.4383,0.5963
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,80,-0.1289,1.7457,1.8298,2.3572,2.1546,2.5682
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,231,-0.74,0.7579,0.7284,0.6571,0.5817,0.7228
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,684,0.7844,1.0045,0.9918,1.1369,1.0842,1.187
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,506,-0.1397,1.4267,1.4079,1.79,1.6692,1.9196
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,286,-0.0432,2.1323,2.525,5.3988,4.3742,6.5247
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,143,0.1886,1.5064,1.535,2.034,1.8647,2.246
ANDERSEN_LIVER_CANCER_KRT19_DN,64,-0.8406,0.4216,0.3601,0.2105,0.1108,0.3278
ANDERSEN_LIVER_CANCER_KRT19_UP,30,0.8311,0.7836,0.7333,0.8162,0.7203,0.9233
BORLAK_LIVER_CANCER_EGF_UP,52,0.2251,0.9529,0.8715,1.0678,0.9557,1.1822
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,-1.2683,0.6413,0.5867,0.4956,0.4291,0.5739
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,43,1.3783,0.8807,0.8349,0.851,0.8069,0.897
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,14,-1.1115,0.6422,0.5779,0.4591,0.3744,0.5658
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,38,1.0202,1.0185,0.9784,1.0316,0.9731,1.1183
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN,37,-0.6103,0.5904,0.4893,0.1079,0.0088,0.2945
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,112,0.7349,0.8684,0.8149,0.7834,0.6939,0.9197
BOYAULT_LIVER_CANCER_SUBCLASS_G2,28,0.7167,0.9057,0.8545,0.943,0.8654,1.0251
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,52,1.1924,0.837,0.8061,0.8361,0.7788,0.8822
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,51,-0.8871,0.4165,0.3736,0.2553,0.1485,0.3748
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,182,1.1102,0.8503,0.8211,0.9018,0.8416,0.9574
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,-0.3387,0.9322,0.974,0.7655,0.4944,0.953
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN,26,-0.1338,0.9645,0.9296,0.568,0.145,0.9278
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN,19,-0.3108,0.7229,0.7469,0.4781,0.1666,0.6846
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,64,0.3443,1.3425,1.4748,1.8165,1.5657,1.9885
CAIRO_HEPATOBLASTOMA_CLASSES_DN,211,-0.6136,0.5803,0.513,0.3508,0.2564,0.4301
CAIRO_HEPATOBLASTOMA_CLASSES_UP,585,0.9262,0.8403,0.8083,0.8502,0.7874,0.9208
