gene	spearman	p	q
CLGN	0.938527	<5.33E-54	<9.64E-54
SEC14L2	0.934688	<5.33E-54	<9.64E-54
DPYS	0.930869	<5.33E-54	<9.64E-54
IGF2BP2	0.928194	<5.33E-54	<9.64E-54
GGT1	0.9224	<5.33E-54	<9.64E-54
VIL1	0.921979	<5.33E-54	<9.64E-54
GSTM3	0.920958	<5.33E-54	<9.64E-54
LGALS4	0.920098	<5.33E-54	<9.64E-54
GPX7	0.91971	<5.33E-54	<9.64E-54
ALDH1L1	0.918611	<5.33E-54	<9.64E-54
ALDH6A1	0.917748	<5.33E-54	<9.64E-54
AKR1B10	0.917626	<5.33E-54	<9.64E-54
SULT2A1	0.916823	<5.33E-54	<9.64E-54
SHMT1	0.916665	<5.33E-54	<9.64E-54
CYP4F22	0.915079	<5.33E-54	<9.64E-54
ACSL4	0.913443	<5.33E-54	<9.64E-54
LAD1	0.910473	<5.33E-54	<9.64E-54
ACSM1	0.910437	<5.33E-54	<9.64E-54
MAP2	0.909395	<5.33E-54	<9.64E-54
LGALS3	0.908323	<5.33E-54	<9.64E-54
PYCR1	0.90769	<5.33E-54	<9.64E-54
AOX1	0.906968	<5.33E-54	<9.64E-54
LPCAT1	0.906738	<5.33E-54	<9.64E-54
CAMK1D	0.90578	<5.33E-54	<9.64E-54
STK39	0.903347	<5.33E-54	<9.64E-54
SLC10A1	0.902994	<5.33E-54	<9.64E-54
GOLM1	0.902618	<5.33E-54	<9.64E-54
GPC3	0.902263	<5.33E-54	<9.64E-54
ARMCX3	0.901767	<5.33E-54	<9.64E-54
HAL	0.900496	<5.33E-54	<9.64E-54
PRG4	0.89986	<5.33E-54	<9.64E-54
APOL3	0.897188	<5.33E-54	<9.64E-54
XDH	0.896844	<5.33E-54	<9.64E-54
PHYHIPL	0.89651	<5.33E-54	<9.64E-54
BLMH	0.895146	<5.33E-54	<9.64E-54
HMGCS2	0.894125	<5.33E-54	<9.64E-54
ME1	0.893543	<5.33E-54	<9.64E-54
RFTN1	0.892742	<5.33E-54	<9.64E-54
CES1	0.892295	<5.33E-54	<9.64E-54
FBP1	0.892235	<5.33E-54	<9.64E-54
TOP2A	0.891763	<5.33E-54	<9.64E-54
ANXA13	0.891515	<5.33E-54	<9.64E-54
GPD1L	0.891199	<5.33E-54	<9.64E-54
HSD17B2	0.891139	<5.33E-54	<9.64E-54
MAT1A	0.890635	<5.33E-54	<9.64E-54
CDK6	0.890354	<5.33E-54	<9.64E-54
ARG1	0.890279	<5.33E-54	<9.64E-54
GSPT2	0.888852	<5.33E-54	<9.64E-54
CRYM	0.888808	<5.33E-54	<9.64E-54
ABAT	0.888652	<5.33E-54	<9.64E-54
EHHADH	0.88813	<5.33E-54	<9.64E-54
TTPA	0.887781	<5.33E-54	<9.64E-54
SULT1A1	0.887318	<5.33E-54	<9.64E-54
HPD	0.887294	<5.33E-54	<9.64E-54
SLC46A3	0.887282	<5.33E-54	<9.64E-54
CMBL	0.887258	<5.33E-54	<9.64E-54
ACSS3	0.886497	<5.33E-54	<9.64E-54
OTC	0.886389	<5.33E-54	<9.64E-54
ABCA6	0.88624	<5.33E-54	<9.64E-54
CPS1	0.88587	<5.33E-54	<9.64E-54
PKM	0.885362	<5.33E-54	<9.64E-54
UGT1A4	0.88502	5.33e-54	9.64e-54
MCM2	0.884285	<5.33E-54	<9.64E-54
VCAM1	0.883977	<5.33E-54	<9.64E-54
CYP8B1	0.883473	<5.33E-54	<9.64E-54
ACSL6	0.88138	<5.33E-54	<9.64E-54
GDAP1	0.881371	<5.33E-54	<9.64E-54
KPNA2	0.880765	<5.33E-54	<9.64E-54
MTHFD1	0.880672	<5.33E-54	<9.64E-54
EPS8L3	0.880484	<5.33E-54	<9.64E-54
SULT1B1	0.879493	<5.33E-54	<9.64E-54
GPD1	0.878938	<5.33E-54	<9.64E-54
TJP3	0.878911	<5.33E-54	<9.64E-54
PIGR	0.878624	<5.33E-54	<9.64E-54
LEPR	0.878532	<5.33E-54	<9.64E-54
ROBO1	0.878257	<5.33E-54	<9.64E-54
PTGR1	0.878096	<5.33E-54	<9.64E-54
FMO4	0.877893	<5.33E-54	<9.64E-54
VSNL1	0.877821	<5.33E-54	<9.64E-54
TP53I3	0.877138	<5.33E-54	<9.64E-54
SLC27A2	0.876964	<5.33E-54	<9.64E-54
CD38	0.876839	<5.33E-54	<9.64E-54
HSD11B1	0.876833	<5.33E-54	<9.64E-54
ACSM3	0.876815	<5.33E-54	<9.64E-54
RABEPK	0.876409	<5.33E-54	<9.64E-54
NT5E	0.876182	<5.33E-54	<9.64E-54
SLC35C1	0.876045	<5.33E-54	<9.64E-54
OGDHL	0.874949	<5.33E-54	<9.64E-54
AKR7A3	0.874567	<5.33E-54	<9.64E-54
DTNA	0.874278	<5.33E-54	<9.64E-54
TSPAN8	0.874119	<5.33E-54	<9.64E-54
DNAJC9	0.873734	<5.33E-54	<9.64E-54
XPNPEP2	0.873639	<5.33E-54	<9.64E-54
SCP2	0.873486	<5.33E-54	<9.64E-54
RDH16	0.873352	<5.33E-54	<9.64E-54
ALDOB	0.872967	<5.33E-54	<9.64E-54
SOD2	0.872752	<5.33E-54	<9.64E-54
