set_name	n_genes_downloaded	n_genes_stated_on_site	match	first_author	year	pmid	status
ACEVEDO_LIVER_CANCER_DN	540	540	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_CANCER_UP	972	972	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	222	222	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	290	290	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	119	119	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	137	137	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	274	274	yes	Acevedo	2008	18413731	ok
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	863	863	yes	Acevedo	2008	18413731	ok
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	876	876	yes	Acevedo	2008	18413731	ok
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	354	354	yes	Acevedo	2008	18413731	ok
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	173	173	yes	Acevedo	2008	18413731	ok
ANDERSEN_LIVER_CANCER_KRT19_DN	75	75	yes	Villanueva	2011	21320499	ok
ANDERSEN_LIVER_CANCER_KRT19_UP	35	35	yes	Villanueva	2011	21320499	ok
BORLAK_LIVER_CANCER_EGF_UP	54	54	yes	Borlak	2005	15674348	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	51	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP	47	47	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN	15	15	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP	39	39	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	38	38	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	116	116	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G2	28	28	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN	10	10	yes	Boyault	2006	17187432	ok
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP	53	53	yes	Boyault	2006	17187432	ok
