pool,covariate_mean_paired_shift,median_retention,n_below_50
matched,-0.8143,0.6871,47
matched,-0.7414,0.6832,44
matched,-0.7131,0.7062,45
matched,-0.7297,0.6881,44
matched,-0.7757,0.7075,37
matched,-0.7324,0.6267,47
matched,-0.6586,0.7083,41
matched,-0.7455,0.6616,45
matched,-0.7681,0.7128,48
matched,-0.7285,0.7115,43
matched,-0.7588,0.7338,44
matched,-0.7497,0.6873,48
matched,-0.7744,0.701,46
matched,-0.6951,0.6732,40
matched,-0.6725,0.7227,37
matched,-0.621,0.756,30
matched,-0.6996,0.6719,48
matched,-0.758,0.6478,46
matched,-0.6847,0.674,42
matched,-0.7435,0.7194,35
matched,-0.6718,0.7575,39
matched,-0.7453,0.6997,44
matched,-0.6488,0.706,37
matched,-0.7424,0.6839,48
matched,-0.6863,0.7091,39
matched,-0.7179,0.5968,47
matched,-0.7232,0.7087,47
matched,-0.672,0.7173,34
matched,-0.7521,0.6399,48
matched,-0.7112,0.7072,40
matched,-0.7113,0.7224,45
matched,-0.6935,0.7091,39
matched,-0.7342,0.6776,40
matched,-0.7144,0.6975,40
matched,-0.7516,0.7203,44
matched,-0.6957,0.7169,35
matched,-0.7286,0.7071,46
matched,-0.7122,0.675,43
matched,-0.7219,0.7205,47
matched,-0.6839,0.7665,40
matched,-0.713,0.6883,48
matched,-0.7918,0.6735,48
matched,-0.6912,0.7163,37
matched,-0.7806,0.6598,42
matched,-0.6366,0.7228,33
matched,-0.7349,0.6781,45
matched,-0.7517,0.6575,48
matched,-0.7218,0.7339,46
matched,-0.7603,0.7316,46
matched,-0.675,0.7281,36
matched,-0.6952,0.6937,41
matched,-0.6789,0.6974,38
matched,-0.693,0.7576,30
matched,-0.7314,0.6845,44
matched,-0.6941,0.665,46
matched,-0.7826,0.6429,49
matched,-0.7969,0.6601,47
matched,-0.737,0.7488,38
matched,-0.7121,0.6818,46
matched,-0.7388,0.6974,47
matched,-0.698,0.7021,45
matched,-0.6974,0.7093,46
matched,-0.7173,0.6987,50
matched,-0.738,0.7024,45
matched,-0.7473,0.7132,47
matched,-0.7031,0.6852,44
matched,-0.7472,0.6914,47
matched,-0.7231,0.7037,44
matched,-0.7001,0.7184,46
matched,-0.763,0.7547,45
matched,-0.8112,0.6474,52
matched,-0.7333,0.6733,49
matched,-0.721,0.6988,39
matched,-0.7601,0.6859,47
matched,-0.7649,0.6786,46
matched,-0.7706,0.6718,46
matched,-0.7462,0.6567,45
matched,-0.7146,0.6688,46
