tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
liver,GSE14520,ACEVEDO_LIVER_CANCER_DN,540,433,-0.5882,7.435059282718545e-34,0.6618,0.6312,included,
liver,GSE14520,ACEVEDO_LIVER_CANCER_UP,972,779,0.6297,2.8693952727087323e-34,0.963,1.0305,included,
liver,GSE14520,ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,127,0.0312,0.004237244468931276,1.149,0.8152,included,
liver,GSE14520,ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,197,-0.13,4.2078664210653436e-11,2.054,1.8271,included,
liver,GSE14520,ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,77,0.3137,3.074070725632871e-32,0.8533,0.7593,included,
liver,GSE14520,ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,80,-0.1289,1.5381340200079278e-11,1.5587,1.7457,included,
liver,GSE14520,ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,231,-0.74,1.6132510108180226e-35,0.8105,0.7579,included,
liver,GSE14520,ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,684,0.7844,1.7535321267549627e-35,0.9896,1.0045,included,
liver,GSE14520,ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,506,-0.1397,9.848048682112098e-20,1.4147,1.4269,included,
liver,GSE14520,ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,286,-0.0432,0.043337239000946576,2.5222,2.1331,included,
liver,GSE14520,ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,143,0.1886,6.2851694905440945e-25,1.2423,1.5064,included,
liver,GSE14520,ANDERSEN_LIVER_CANCER_KRT19_DN,75,64,-0.8406,1.1989292260898292e-32,0.4412,0.4216,included,
liver,GSE14520,ANDERSEN_LIVER_CANCER_KRT19_UP,35,30,0.8311,1.4233658063307517e-33,0.704,0.7836,included,
liver,GSE14520,BORLAK_LIVER_CANCER_EGF_UP,54,52,0.2251,2.8340815736772213e-15,0.4558,0.953,included,
liver,GSE14520,BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,51,-1.2683,5.234984842528959e-35,0.6614,0.6413,included,
liver,GSE14520,BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,47,43,1.3783,2.811463131872513e-36,0.9015,0.8807,included,
