sample	placeholder
TCGA-38-4625-01A	0.0
TCGA-38-4625-11A	0.0
TCGA-38-4626-01A	0.0
TCGA-38-4626-11A	0.0
TCGA-38-4627-01A	0.0
TCGA-38-4627-11A	0.0
TCGA-38-4632-01A	0.0
TCGA-38-4632-11A	0.0
TCGA-44-2655-01A	0.0
TCGA-44-2655-11A	0.0
TCGA-44-2657-01A	0.0
TCGA-44-2657-11A	0.0
TCGA-44-2661-01A	0.0
TCGA-44-2661-11A	0.0
TCGA-44-2662-01A	0.0
TCGA-44-2662-11A	0.0
TCGA-44-2665-01A	0.0
TCGA-44-2665-11A	0.0
TCGA-44-2668-01A	0.0
TCGA-44-2668-11A	0.0
TCGA-44-3396-01A	0.0
TCGA-44-3396-11A	0.0
TCGA-44-3398-01A	0.0
TCGA-44-3398-11B	0.0
TCGA-44-5645-01A	0.0
TCGA-44-5645-11A	0.0
TCGA-44-6145-01A	0.0
TCGA-44-6145-11A	0.0
TCGA-44-6146-01A	0.0
TCGA-44-6146-11A	0.0
TCGA-44-6147-01A	0.0
TCGA-44-6147-11A	0.0
TCGA-44-6148-01A	0.0
TCGA-44-6148-11A	0.0
TCGA-44-6776-01A	0.0
TCGA-44-6776-11A	0.0
TCGA-44-6777-01A	0.0
TCGA-44-6777-11A	0.0
TCGA-44-6778-01A	0.0
TCGA-44-6778-11A	0.0
TCGA-49-4490-01A	0.0
TCGA-49-4490-11A	0.0
TCGA-49-4512-01A	0.0
TCGA-49-4512-11A	0.0
TCGA-49-6742-01A	0.0
TCGA-49-6742-11A	0.0
TCGA-49-6743-01A	0.0
TCGA-49-6743-11A	0.0
TCGA-49-6744-01A	0.0
TCGA-49-6744-11A	0.0
TCGA-49-6745-01A	0.0
TCGA-49-6745-11A	0.0
TCGA-49-6761-01A	0.0
TCGA-49-6761-11A	0.0
TCGA-50-5930-01A	0.0
TCGA-50-5930-11A	0.0
TCGA-50-5931-01A	0.0
TCGA-50-5931-11A	0.0
TCGA-50-5932-01A	0.0
TCGA-50-5932-11A	0.0
TCGA-50-5933-01A	0.0
TCGA-50-5933-11A	0.0
TCGA-50-5935-01A	0.0
TCGA-50-5935-11A	0.0
TCGA-50-5936-01A	0.0
TCGA-50-5936-11A	0.0
TCGA-50-5939-01A	0.0
TCGA-50-5939-11A	0.0
TCGA-50-6595-01A	0.0
TCGA-50-6595-11A	0.0
TCGA-55-6968-01A	0.0
TCGA-55-6968-11A	0.0
TCGA-55-6969-01A	0.0
TCGA-55-6969-11A	0.0
TCGA-55-6970-01A	0.0
TCGA-55-6970-11A	0.0
TCGA-55-6971-01A	0.0
TCGA-55-6971-11A	0.0
TCGA-55-6972-01A	0.0
TCGA-55-6972-11A	0.0
TCGA-55-6975-01A	0.0
TCGA-55-6975-11A	0.0
TCGA-55-6978-01A	0.0
TCGA-55-6978-11A	0.0
TCGA-55-6979-01A	0.0
TCGA-55-6979-11A	0.0
TCGA-55-6980-01A	0.0
TCGA-55-6980-11A	0.0
TCGA-55-6981-01A	0.0
TCGA-55-6981-11A	0.0
TCGA-55-6982-01A	0.0
TCGA-55-6982-11A	0.0
TCGA-55-6983-01A	0.0
TCGA-55-6983-11A	0.0
TCGA-55-6984-01A	0.0
TCGA-55-6984-11A	0.0
TCGA-55-6985-01A	0.0
TCGA-55-6985-11A	0.0
TCGA-55-6986-01A	0.0
TCGA-55-6986-11A	0.0
TCGA-73-4676-01A	0.0
TCGA-73-4676-11A	0.0
TCGA-91-6828-01A	0.0
TCGA-91-6828-11A	0.0
TCGA-91-6829-01A	0.0
TCGA-91-6829-11A	0.0
TCGA-91-6831-01A	0.0
TCGA-91-6831-11A	0.0
TCGA-91-6835-01A	0.0
TCGA-91-6835-11A	0.0
TCGA-91-6836-01A	0.0
TCGA-91-6836-11A	0.0
TCGA-91-6847-01A	0.0
TCGA-91-6847-11A	0.0
TCGA-91-6849-01A	0.0
TCGA-91-6849-11A	0.0
